Timestamp,Container,CPU_%,Mem_Usage,NPU_Temp,EPC_Util,Epsilon,Accuracy,Loss
2026-03-23 09:29:48,sovereign-tpm-metrics,2.50%,40.54MiB / 11.49GiB
sovereign-tokenomics-metrics,5.15%,31.67MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,50.35%,522.8MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,77.88%,550.7MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,56.53%,536.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,46.70%,540.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,57.47%,538.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,60.96%,518.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,59.80%,540.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,45.51%,534.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,62.01%,575.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,48.18%,546.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,53.91%,539.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,55.96%,509.5MiB / 11.49GiB
sovereign-grafana,0.04%,140.1MiB / 11.49GiB
sovereign-backend,64.71%,906.5MiB / 11.49GiB
sovereign-alertmanager,0.19%,33.43MiB / 11.49GiB
sovereign-prometheus,0.18%,71.66MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.25%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.02%,23.64MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:29:52,sovereign-tpm-metrics,3.19%,40.52MiB / 11.49GiB
sovereign-tokenomics-metrics,0.93%,29.39MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,65.59%,543.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,63.91%,544.4MiB / 11.49GiB
sovereign-frontend,0.00%,16.05MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,65.58%,562.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,66.10%,552MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,70.97%,520.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,60.18%,520.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,57.50%,560.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,71.71%,568.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,63.40%,584.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,65.15%,555.8MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,66.80%,539MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,63.03%,524.9MiB / 11.49GiB
sovereign-grafana,0.10%,140.1MiB / 11.49GiB
sovereign-backend,63.10%,939MiB / 11.49GiB
sovereign-alertmanager,0.17%,33.48MiB / 11.49GiB
sovereign-prometheus,0.26%,71.68MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.04%,23.64MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:29:57,sovereign-tpm-metrics,3.60%,40.51MiB / 11.49GiB
sovereign-tokenomics-metrics,0.40%,29.37MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,53.93%,535.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,55.18%,536.5MiB / 11.49GiB
sovereign-frontend,0.00%,16.05MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,57.49%,544.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,67.64%,511.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,54.81%,517.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,57.24%,514.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,50.88%,541.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,63.36%,568.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,49.79%,577.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,49.11%,574.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,56.86%,544.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,56.77%,533.6MiB / 11.49GiB
